action,description,event_type,event_action
RISK_SIGNAL_UPDATED_EVENT,Risk signal updated,mobile,keep
APPLICATION_EVENT,Application state changed,mobile,keep
FAILED_PASSWORD_ATTEMPTS_EVENT,Failed password attempts,mobile,keep
DEVICE_COMPROMISED_EVENT,Device compromised,mobile,keep
APPLICATION_REPORT_EVENT,Application report event,mobile,keep
OS_UPDATED_EVENT,Operating system updated,mobile,keep
DEVICE_ACTION_EVENT,Device action performed,mobile,keep
DEVICE_OWNERSHIP_CHANGE_EVENT,Device ownership changed,mobile,keep
DEVICE_SETTINGS_UPDATED_EVENT,Device settings updated,mobile,keep
DEVICE_SYNC_EVENT,Device synced,mobile,keep
ANDROID_WORK_PROFILE_SUPPORT_ENABLED_EVENT,Android work profile support enabled,mobile,keep
SUSPICIOUS_ACTIVITY_EVENT,Suspicious activity detected,mobile,keep
DEVICE_REGISTER_UNREGISTER_EVENT,Device registered or unregistered,mobile,keep
ADVANCED_POLICY_SYNC_EVENT,Advanced policy synced,mobile,keep
APPLE_DEP_DEVICE_UPDATE_ON_APPLE_PORTAL_EVENT,Apple DEP device updated on Apple portal,mobile,keep
attachment_download,Attachment downloaded,chat,keep
attachment_upload,Attachment uploaded,chat,keep
add_room_member,Room member added,chat,keep
block_user,User blocked,chat,keep
remove_room_member,Room member removed,chat,keep
direct_message_started,Direct message started,chat,keep
invite_send,Invite sent,chat,keep
emoji_created,Emoji created,chat,keep
message_posted,Message posted,chat,keep
room_created,Room created,chat,keep
emoji_deleted,Emoji deleted,chat,keep
message_edited,Message edited,chat,keep
block_room,Room blocked,chat,keep
DELETE_DISTRIBUTION_CONTENT,Distribution content deleted,data_studio,keep
EDIT_DISTRIBUTION_CONTENT,Distribution content edited,data_studio,keep
CREATE_DISTRIBUTION_CONTENT,Distribution content created,data_studio,keep
CHANGE_ASSET_LINK_SHARING_ACCESS_TYPE,Asset link sharing access type changed,data_studio,keep
RESTORE,Asset restored,data_studio,keep
CHANGE_ASSET_LINK_SHARING_VISIBILITY,Asset link sharing visibility changed,data_studio,keep
CREATE,Asset created,data_studio,keep
TRASH,Asset trashed,data_studio,keep
DOWNLOAD_REPORT,Report downloaded,data_studio,keep
EDIT,Asset edited,data_studio,keep
DATA_EXPORT,Data exported,data_studio,keep
CHANGE_USER_ACCESS,User access changed,data_studio,keep
login_success,SAML login successful,saml,keep
login_failure,SAML login failed,saml,keep
add_member_role,Member role added,groups_enterprise,keep
add_service_account_permission,Service account permission added,groups_enterprise,keep
join,Member joined group,groups_enterprise,keep
unban_member,Member unbanned,groups_enterprise,keep
add_member,Member added to group,groups_enterprise,keep
add_security_setting,Security setting added,groups_enterprise,keep
change_security_setting,Security setting changed,groups_enterprise,keep
create_group,Group created,groups_enterprise,keep
delete_group,Group deleted,groups_enterprise,keep
invite_member,Member invited,groups_enterprise,keep
IMPORT_SSH_PUBLIC_KEY,SSH public key imported,gcp,keep
GET_SSH_PUBLIC_KEY,SSH public key retrieved,gcp,keep
GET_LOGIN_PROFILE,Login profile retrieved,gcp,keep
UPDATE_SSH_PUBLIC_KEY,SSH public key updated,gcp,keep
change_calendar_acls,Calendar ACLs changed,calendar,keep
create_calendar,Calendar created,calendar,keep
delete_calendar,Calendar deleted,calendar,keep
create_event,Calendar event created,calendar,keep
delete_event,Calendar event deleted,calendar,keep
add_event_guest,Event guest added,calendar,keep
change_event,Calendar event changed,calendar,keep
restore_event,Calendar event restored,calendar,keep
ACCESS_DENY_EVENT,Access denied by context-aware access policy,context_aware_access,keep
action_complete,Rule action completed,rules,keep
label_applied,Label applied by rule,rules,keep
label_field_value_changed,Label field value changed by rule,rules,keep
ACCESS_TRANSPARENCY_EVENT,Google employee accessed data,access_transparency,keep
